REGION_DE_NAISSANCE,NIVEAU,SESSION,MENTION,MOYENNE ANNUELLE,RESULTAT,RESULTAT APP EVALUATION,Année BAC,Sexe,Série,Ets. de provenance,Académie de l'Ets. Prov.,Résidence,Centre d'Ec.,Nbre Fois au BAC,Mention,Groupe Résultat,Année de l'Extrait EC,Moy. nde,Moy. ère,Moy. S Term.,Moy. S Term..1,MATH,SCPH,FR,PHILO,AN,SVT,Tot. Pts au Grp.,Moyenne au Grp.,Moy. Gle,Moy. sur Mat.Fond.,Age en Décembre 2018,Score DAP,Rang DAP,Score L1,Rang L1
 Dakar,1,Deuxième Session,Passable,10.8,PASSE,1,2018,M,S1,LYCEE LAMINE GUEYE,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,2,Pass,2,2003,12.75,10.58,12.34,10.45,8,11,9,11,13,8.0,263,9.74,11.52,12.5,19,235.6,133,10.8,122
 Dakar,1,Deuxième Session,,9.07,AUTORISE,1,2018,M,S1,LYCEE DE THIAROYE,Académie de Pikine - Guédiawaye,PIKINE,LYCEE DE THIAROYE,1,Pass,1,1998,14.56,12.21,11.2,11.24,8,11,13,7,13,6.0,270,10.0,10.0,9.5,20,238.0,124,9.07,175
 Kaolack,1,Première Session,Passable,11.14,PASSE,1,2018,M,S1,LYCEE SERGENT MALAMINE CAMARA,Académie de Dakar,PARCELLES ASSAINIES,LYCEE SERGENT MALAMINE CAMARA,1,Pass,1,1998,14.84,13.07,10.43,11.09,10,10,10,10,12,6.0,272,10.07,10.07,10.0,20,250.0,93,111.14,58
 Dakar,1,Deuxième Session,Passable,10.24,PASSE,1,2018,F,S2,LYCEE THIERNO SAIDOU NOUROU TALL,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,1,Pass,1,1999,12.54,13.28,11.25,11.17,11,7,14,10,16,9.0,267,10.27,10.27,8.88,19,151.0,286,10.24,139
 Dakar,1,Deuxième Session,Passable,11.22,PASSE,1,2018,F,S2,LYCEE DE THIAROYE,Académie de Pikine - Guédiawaye,PIKINE,CEM THIAROYE 44,1,Pass,2,1998,12.3,10.71,11.14,11.76,11,7,9,8,10,4.0,208,8.0,11.0,11.71,20,141.0,302,11.22,112
 Thiès,1,Deuxième Session,Passable,10.94,PASSE,1,2018,M,S2,LYCEE DE SANDIARA,Académie de Thiès,SANDIARA,LYCEE DE SANDIARA,1,Pass,2,2010,11.32,10.96,11.14,11.26,14,10,4,6,9,7.0,233,8.96,11.73,14.35,19,196.0,206,10.94,118
 Kaolack,1,Première Session,Assez-Bien,13.24,PASSE,1,2017,M,S1,LYCEE DE THIAROYE,Académie de Pikine - Guédiawaye,PIKINE,CEM THIAROYE 44,1,Pass,1,1997,15.54,13.27,12.42,11.23,7,12,7,11,12,8.0,270,10.0,10.0,9.5,21,235.0,135,113.24,16
 Kaolack,1,Deuxième Session,Passable,11.82,PASSE,1,2018,M,S2,LYCEE DE LATMINGUE,Académie de Kaolack,KOUTAL,LYCEE DE KOUTAL,1,ABien,1,2010,11.53,12.67,11.54,12.56,14,15,9,8,13,11.0,312,12.0,12.0,13.29,18,246.0,102,11.82,105
 Kolda,1,Deuxième Session,Passable,11.36,PASSE,1,2018,M,S2,LYCEE BOUNA KANE DE KOLDA,Académie de Kolda,KOLDA,LYCEE ALPHA MOLO BALDE,2,Pass,1,2010,11.53,10.7,11.3,9.35,19,13,9,4,5,6.0,278,10.69,10.69,12.29,21,236.54999999999998,131,11.36,109
 Fatick,1,Deuxième Session,,3.53,NON ADMIS,1,2018,M,S2,LYCEE DE DIARRERE,Académie de Fatick,DIOUROUP,LYCEE DE DIOUROUP,2,Pass,1,1999,11.55,11.77,11.08,10.96,11,11,10,10,6,11.0,278,10.69,10.69,11.0,19,166.25,252,3.53,325
