REGION_DE_NAISSANCE,NIVEAU,SESSION,MENTION,MOYENNE ANNUELLE,RESULTAT,RESULTAT APP EVALUATION,Année BAC,Sexe,Série,Ets. de provenance,Académie de l'Ets. Prov.,Résidence,Centre d'Ec.,Nbre Fois au BAC,Mention,Groupe Résultat,Année de l'Extrait EC,Moy. nde,Moy. ère,Moy. S Term.,Moy. S Term..1,MATH,SCPH,FR,PHILO,AN,SVT,Tot. Pts au Grp.,Moyenne au Grp.,Moy. Gle,Moy. sur Mat.Fond.,Age en Décembre 2018,Score DAP,Rang DAP,Score L1,Rang L1
 Thiès,1,Première Session,Passable,11.86,PASSE,1,2018,F,S1,LYCEE MALICK SY,Académie de Thiès,THIES,LYCEE D' ENSEIGNEMENT TECHNIQUE ET DE FORMATION PR,1,Pass,1,2018,14.72,12.14,12.74,12.04,10,9,12,10,13,10.0,287,10.63,10.63,9.5,20,244.0,107,111.86,35
 Matam,1,Première Session,Passable,10.67,PASSE,1,2018,M,S2,LYCEE DE NDOULOUMADJI,Académie de Matam,NDOULOUMADJI,LYCEE DE NDOULOUMADJI,1,Pass,1,1998,11.62,11.8,8.07,8.98,12,13,7,8,9,12.0,281,10.81,10.81,12.35,20,186.0,221,110.67,78
 Kaolack,1,Deuxième Session,,6.6,NON ADMIS,1,2018,F,S2,LYCEE MABA DIAKHOU BA,Académie de Kaolack,NIORO,LYCEE MABA DIAKHOU BA,2,Pass,1,2008,13.16,11.65,11.46,11.77,18,9,8,7,9,8.0,260,10.0,10.0,11.29,20,205.2,194,6.6,252
 Kaolack,1,Première Session,Passable,10.3,PASSE,1,2017,M,S1,LYCEE VALDIODIO NDIAYE,Académie de Kaolack,KAOLACK,COLLEGE PIE XII,1,Pass,2,1995,13.55,11.87,9.9,10.35,6,10,12,8,8,2.0,216,8.0,10.0,10.5,23,214.0,178,110.3,86
 Dakar,1,Deuxième Session,,4.71,NON ADMIS,1,2018,M,S2,LYCEE DE MBAO,Académie de Pikine - Guédiawaye,MBAO,ECOLE ELEMENTAIRE LGI MBAO,1,Pass,2,1996,11.87,10.97,9.65,8.78,12,6,5,7,9,10.0,220,8.46,10.77,10.94,22,144.0,298,4.71,299
 Kaolack,1,Deuxième Session,,8.41,NON ADMIS,1,2018,M,S2,LYCEE DE LATMINGUE,Académie de Kaolack,KOUTAL,LYCEE DE KOUTAL,1,Pass,2,2010,12.22,11.86,9.24,9.07,10,8,8,8,14,6.0,220,8.46,10.19,10.29,19,148.0,293,8.41,196
 Dakar,1,Deuxième Session,,3.17,NON ADMIS,1,2018,F,S2,ECOLE PRIVEE LEOPOLD SEDAR SENGHOR,Académie de Rufisque,RUFISQUE,LYCEE MODERNE DE RUFISQUE,3,Pass,2,2003,7.41,9.13,7.82,7.32,12,11,11,6,5,5.0,236,9.08,10.85,11.65,23,156.6,276,3.17,331
 Fatick,1,Deuxième Session,,6.58,NON ADMIS,1,2018,F,S2,LYCEE DE DIOFIOR,Académie de Fatick,DIOFIOR,LYCEE DE DIOFIOR,1,Pass,2,1999,10.96,11.05,8.76,9.86,15,8,8,6,3,4.0,208,8.0,10.0,11.12,19,193.0,213,6.58,254
 Dakar,1,Première Session,Bien,14.7,PASSE,1,2018,M,S1,LYCEE SEYDINA LIMAMOULAYE,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,1,Pass,1,1998,13.22,12.75,12.02,8.93,15,11,11,6,9,5.0,299,11.07,11.07,13.0,20,301.0,21,114.7,6
 Dakar,1,Deuxième Session,Passable,10.0,PASSE,1,2018,M,S2,LYCEE AHOUNE SANE,Académie de Ziguinchor,BIGNONA,CEM ARFANG BESIRE SONKO,2,Pass,1,1998,10.26,9.55,11.84,11.95,12,14,14,6,10,10.0,304,11.69,11.69,12.0,20,182.39999999999998,228,10.0,148
 Thiès,1,Première Session,Passable,10.72,PASSE,1,2018,M,S2,LYCEE JULES SAGNA,Académie de Thiès,THIES,LYCEE D' ENSEIGNEMENT TECHNIQUE ET DE FORMATION PR,1,Pass,1,2008,13.85,11.62,10.97,11.3,15,14,10,4,7,5.0,260,10.0,10.0,11.12,19,229.0,148,110.72,76
 Dakar,1,Deuxième Session,,5.33,NON ADMIS,1,2018,F,S2,LYCEE SEYDINA LIMAMOULAYE,Académie de Pikine - Guédiawaye,GUEDIAWAYE,CEM JOSEPH CORREA A,1,Pass,1,2004,11.22,13.7,10.81,10.87,9,10,14,12,12,8.0,272,10.46,10.46,9.0,18,151.0,286,5.33,279
 Thiès,1,Deuxième Session,,3.82,NON ADMIS,1,2018,F,S2,LYCEE DAROU KHOUDOSS ,Académie de Thiès,DAROU KHOUDOSS,LYCEE DAROU KHOUDOSS ,1,Pass,2,2003,12.47,10.55,10.48,9.81,8,9,6,13,7,7.0,208,8.0,10.42,10.47,19,136.0,315,3.82,318
 Kaolack,1,Deuxième Session,,8.34,AUTORISE,1,2018,M,S2,LYCEE MABA DIAKHOU BA,Académie de Kaolack,NIORO,LYCEE MABA DIAKHOU BA,1,Pass,2,2011,14.87,13.99,10.42,10.94,10,10,11,5,6,7.0,232,8.92,10.0,9.65,19,160.0,266,8.34,201
 Louga,1,Première Session,Passable,10.21,PASSE,1,2018,M,S2,LYCEE MACODOU KANGUE SALL,Académie de Louga,KEBEMER,LYCEE MACODOU KANGUE SALL,1,Pass,1,1999,11.82,11.87,11.78,11.3,17,11,11,4,7,6.0,260,10.0,10.0,11.0,19,229.0,148,110.21000000000001,90
 Thiès,1,Deuxième Session,,3.34,NON ADMIS,1,2018,M,S2,LYCEE AHMADOU NDACK SECK THIES,Académie de Thiès,THIES,ECOLE ELEMENTAIRE GERMAINE LE GOFF DE THIES,1,Pass,2,1998,11.18,9.1,0.0,0.0,13,8,9,11,5,4.0,208,8.0,11.54,12.65,20,165.0,258,3.34,327
 Matam,1,Deuxième Session,,2.64,NON ADMIS,1,2018,F,S2,LYCEE DE OUROSSOGUI,Académie de Matam,OUROSSOGUI,LYCEE DE OUROSSOGUI,1,Pass,2,2010,13.01,9.61,8.37,9.09,5,11,11,8,9,4.0,208,8.0,10.27,9.88,19,121.0,330,2.64,339
 Fatick,1,Deuxième Session,,10.32,AUTORISE,1,2018,M,S2,LYCEE VALDIODIO NDIAYE,Académie de Kaolack,KAOLACK,COLLEGE PRIVE MBOUTOU SOW,2,Pass,1,2008,12.62,10.33,11.72,11.21,13,15,8,8,7,7.0,268,10.31,10.31,11.59,19,206.14999999999998,192,10.32,137
 Kaolack,1,Deuxième Session,,5.4,NON ADMIS,1,2018,M,S2,LYCEE DE KAHONE,Académie de Kaolack,KAHONE,LYCEE DE KAHONE,1,Pass,2,2011,11.15,12.25,10.72,10.61,10,9,10,7,4,7.0,216,8.31,10.04,10.35,19,154.0,278,5.4,277
 Thiès,1,Deuxième Session,,8.56,NON ADMIS,1,2018,M,S2,LYCEE JULES SAGNA,Académie de Thiès,THIES,COLLEGE SAINT GABRIEL,1,Pass,2,2000,10.52,11.78,10.52,10.97,9,7,8,9,7,10.0,225,8.65,10.35,10.41,18,133.0,320,8.56,192
 Thiès,1,Deuxième Session,Passable,11.15,PASSE,1,2018,M,S2,LYCEE DE NGOUNDIANE,Académie de Thiès,NGOUNDIANE,LYCEE DE NGOUNDIANE,1,Pass,2,2006,10.03,12.89,9.8,10.95,8,11,5,3,11,4.0,208,8.0,10.92,11.59,21,138.0,308,11.15,115
 Thiès,1,Deuxième Session,,8.56,NON ADMIS,1,2018,M,S2,GROUPE SCOLAIRE MAMADOU DIAGNE DE POUT,Académie de Thiès,POUT,LYCEE DE POUT,3,Pass,1,2002,11.41,11.97,12.44,13.35,17,14,12,6,5,7.0,294,11.31,11.31,12.41,22,213.3,181,8.56,192
 Fatick,1,Deuxième Session,,6.61,NON ADMIS,1,2018,M,S2,LYCEE DE MBELLACADIAO,Académie de Fatick,MBELACADIAO,LYCEE DE MBELLACADIAO,1,Pass,2,2009,9.97,9.84,6.75,9.37,12,9,6,5,4,7.0,215,8.27,11.85,13.76,21,162.0,261,6.61,251
 Dakar,1,Deuxième Session,,9.54,AUTORISE,1,2018,M,S2,LYCEE SAMBA DIONE DE GANDIAYE,Académie de Kaolack,GANDIAYE,LYCEE SAMBA DIONE DE GANDIAYE,1,Pass,2,2015,14.9,12.29,12.68,11.37,12,9,9,7,8,6.0,227,8.73,10.23,10.94,18,172.0,244,9.54,154
 Fatick,1,Deuxième Session,,5.23,NON ADMIS,1,2018,F,S2,LYCEE DE DIOFIOR,Académie de Fatick,DIOFIOR,LYCEE DE DIOFIOR,1,Pass,1,2000,12.21,11.73,10.83,10.95,10,12,10,10,8,7.0,260,10.0,10.0,9.65,18,172.0,244,5.23,284
 Kaolack,1,Deuxième Session,,6.89,NON ADMIS,1,2018,M,S2,LYCEE DE KEUR MASSAR ,Académie de Pikine - Guédiawaye,KEUR MASSAR,LYCEE ZONE DE RECASEMENT DE KEUR MASSAR ,1,Pass,2,2014,12.43,11.08,10.74,9.93,13,10,7,7,2,4.0,208,8.0,10.08,10.88,19,187.0,216,6.89,244
 Fatick,1,Deuxième Session,Passable,10.12,PASSE,1,2018,M,S2,LYCEE DE PASSY,Académie de Fatick,PASSY,LYCEE DE PASSY,2,Pass,1,2007,10.14,11.47,8.06,7.85,16,14,7,6,8,6.0,269,10.35,10.35,11.76,20,216.6,171,10.12,144
 Louga,1,Deuxième Session,,5.49,NON ADMIS,1,2018,M,S2,ECOLE PRIVEE LES GENIES DU GUETH,Académie de Louga,KEBEMER,LYCEE MACODOU KANGUE SALL,2,Pass,1,1996,9.38,11.66,12.26,7.95,13,13,6,11,7,8.0,260,10.0,10.0,11.24,22,185.25,224,5.49,274
 Fatick,1,Deuxième Session,,2.06,NON ADMIS,1,2018,F,S1,LYCEE DIOGOYE BASILE SENGHOR FIMELA,Académie de Fatick,FIMELA,LYCEE DIOGOYE BASILE SENGHOR FIMELA,1,Pass,2,2011,12.16,10.96,9.45,9.72,7,7,13,8,6,6.0,216,8.0,10.67,11.5,19,215.0,176,2.06,345
 Saint-Louis,1,Deuxième Session,,5.43,NON ADMIS,1,2018,F,S2,LYCEE EL HADJ OMAR FOUTIYOU TALL,Académie de Saint - Louis,SAINT LOUIS,LYCEE TECHNIQUE ANDRE PEYTAVIN,2,Pass,1,1997,9.93,9.78,10.6,10.67,12,10,12,6,10,9.0,264,10.15,10.15,10.24,21,159.6,269,5.43,276
 Dakar,1,Deuxième Session,,7.64,NON ADMIS,1,2018,M,S2,COLLEGE JEAN DE LA FONTAINE,Académie de Dakar,DAKAR,INSTITUTION NOTRE DAME,3,Pass,2,2016,9.99,9.59,10.56,11.44,10,7,10,10,9,11.0,245,9.42,10.35,10.71,24,118.8,333,7.64,223
 Dakar,1,Deuxième Session,,4.97,NON ADMIS,1,2018,M,S2,LYCEE EL HADJI IBRAHIMA DIOP DE YEUMBEUL,Académie de Pikine - Guédiawaye,PIKINE,LYCEE DE THIAROYE,1,Pass,2,1998,10.5,13.16,11.2,10.92,14,10,6,7,5,6.0,226,8.69,12.38,14.71,20,186.0,221,4.97,288
 Dakar,1,Deuxième Session,,7.78,NON ADMIS,1,2018,M,S1,ECOLE CATHOLIQUE COLLEGE SAINT PIERRE,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,1,Pass,1,2000,14.81,13.1,13.5,11.79,11,9,8,8,14,12.0,276,10.22,10.22,10.0,18,263.0,69,7.78,217
 Diourbel,1,Deuxième Session,,9.86,AUTORISE,1,2018,M,S1,LYCEE SEYDINA LIMAMOULAYE,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,1,Pass,1,1997,13.35,12.32,12.36,13.35,13,10,10,9,9,7.0,283,10.48,10.48,11.5,21,277.0,44,9.86,151
 Thiès,1,Deuxième Session,,2.69,NON ADMIS,1,2017,M,S1,LYCEE SEYDINA ISSA ROHOU LAHI,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,1,Pass,1,1997,13.41,12.54,11.37,11.18,9,10,16,15,10,6.0,295,10.93,10.93,9.5,21,241.0,113,2.69,337
 Dakar,1,Deuxième Session,,9.53,AUTORISE,1,2018,M,S1,ECOLE CATHOLIQUE COLLEGE SAINT PIERRE,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,1,Pass,1,1999,15.74,14.16,12.42,13.34,11,12,8,7,13,8.0,292,10.81,10.81,11.5,19,281.0,38,9.53,155
 Saint-Louis,1,Première Session,Passable,10.09,PASSE,1,2018,M,S2,LYCEE DE RICHARD TOLL,Académie de Saint - Louis,RICHARD TOLL,CEM II DE RICHARD-TOLL,1,Pass,2,1999,11.27,10.73,10.34,10.44,17,13,4,5,8,5.0,241,9.27,12.73,15.24,19,241.0,113,110.09,93
 Fatick,1,Deuxième Session,,4.62,NON ADMIS,1,2018,F,S2,ECOLE PRIVEE LE NDJAFADJI ,Académie de Fatick,NIAKHAR,LYCEE DE NIAKHAR,4,Pass,2,1993,11.72,10.22,10.56,10.74,11,9,7,6,10,7.0,224,8.62,10.81,11.71,25,130.04999999999998,323,4.62,302
 Saint-Louis,1,Deuxième Session,,8.83,AUTORISE,1,2018,M,S2,LYCEE DE ROSSO SENEGAL,Académie de Saint - Louis,ROSSO SENEGAL,LYCEE DE ROSSO SENEGAL,2,Pass,1,2009,12.38,9.75,12.61,11.58,16,14,11,8,8,4.0,269,10.35,10.35,11.06,20,216.6,171,8.83,184
 Saint-Louis,1,Deuxième Session,,9.22,AUTORISE,1,2018,M,S2,LYCEE DE RICHARD TOLL,Académie de Saint - Louis,RICHARD TOLL,CEM II DE RICHARD-TOLL,1,Pass,1,1999,13.49,11.26,10.58,10.69,15,13,5,5,9,8.0,261,10.04,10.04,11.82,19,223.0,161,9.22,169
 Saint-Louis,1,Deuxième Session,Passable,10.07,PASSE,1,2018,M,S2,LYCEE CHARLES DEGAULLE,Académie de Saint - Louis,SAINT LOUIS,LYCEE TECHNIQUE ANDRE PEYTAVIN,1,Pass,2,1996,10.16,10.4,9.72,9.73,9,8,6,9,3,8.0,208,8.0,10.0,11.0,22,129.0,325,10.07,146
 Kaolack,1,Première Session,Passable,11.59,PASSE,1,2018,M,S1,LYCEE MAME CHEIKH MBAYE,Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,1,ABien,1,2011,16.31,13.67,11.54,13.32,12,13,8,16,12,11.0,324,12.0,12.0,12.5,19,316.0,13,111.59,46
Kaffrine,1,Deuxième Session,,2.0,NON ADMIS,1,2018,M,S2,LYCEE DE MALEM HODAR,Académie de Kaffrine,MALEM HODAR,LYCEE DE MALEM HODAR,2,Pass,2,2007,10.4,10.16,10.99,10.09,8,7,12,7,9,6.0,208,8.0,11.19,10.53,21,108.3,340,2.0,346
 Dakar,1,Deuxième Session,,8.4,NON ADMIS,1,2018,M,S2,LYCEE DE TIVAOUANE PEULH,Académie de Rufisque,TIVAOUANE PEULH,LYCEE DE TIVAOUANE PEULH,2,Pass,2,2002,10.22,11.44,10.31,8.89,11,10,10,4,7,7.0,222,8.54,10.15,11.35,23,151.04999999999998,284,8.4,198
Sédhiou,1,Deuxième Session,,6.35,NON ADMIS,1,2018,M,S2,LYCEE DE DIATTACOUNDA,Académie de Sédhiou,DIATTACOUNDA,LYCEE DE DIATTACOUNDA,4,Pass,1,2003,11.8,9.7,11.78,11.98,10,8,16,12,8,7.0,260,10.0,10.0,8.24,21,117.3,335,6.35,260
 Matam,1,Deuxième Session,,9.3,AUTORISE,1,2018,M,S2,LYCEE DE ODOBERE,Académie de Matam,ODOBERE,LYCEE DE ODOBERE,2,Pass,1,1998,12.02,11.76,11.07,10.5,14,11,12,13,4,6.0,262,10.08,10.08,10.12,21,182.39999999999998,228,9.3,164
 Kaolack,1,Deuxième Session,,7.21,NON ADMIS,1,2018,M,S2,LYCEE MIXTE DE MBOSS,Académie de Kaolack,GUINGUINEO,LYCEE SERIGNE KHASSIM MBACKE GUINGUINEO,2,Pass,2,2008,11.32,10.34,10.07,11.21,10,9,6,11,4,6.0,211,8.12,10.88,11.06,19,146.29999999999998,296,7.21,235
 Diourbel,1,Deuxième Session,,4.89,NON ADMIS,1,2018,F,S2,LYCEE BANQUE ISLAMIQUE,Académie de Pikine - Guédiawaye,GUEDIAWAYE,CEM OGO DIOP,1,Pass,2,1999,12.69,11.48,11.67,10.36,6,9,9,6,10,10.0,235,9.04,10.08,9.53,19,118.0,334,4.89,295
 Diourbel,1,Première Session,Passable,11.77,PASSE,1,2018,M,S2,LYCEE VALDIODIO NDIAYE,Académie de Kaolack,KAOLACK,COLLEGE PIE XII,1,ABien,1,2010,14.05,12.1,14.92,14.83,13,17,10,11,8,8.0,312,12.0,12.0,12.65,18,249.0,96,111.77,39
 Louga,1,Deuxième Session,,5.33,NON ADMIS,1,2018,M,S2,ECOLE PRIVEE LES TROIS SCIENTIFIQUES,Académie de Rufisque,RUFISQUE,CEM MOMAR SENE WALY,3,Pass,2,2002,0.0,0.0,0.0,0.0,7,12,6,8,10,6.0,213,8.19,10.54,11.29,22,121.5,329,5.33,279
 Dakar,1,Deuxième Session,,9.12,NON ADMIS,1,2018,F,S1,LYCEE ABDOULAYE SADJI,Académie de Rufisque,RUFISQUE,LYCEE MODERNE DE RUFISQUE,1,Pass,1,2007,15.03,12.64,11.17,11.45,9,9,14,9,12,9.0,270,10.0,10.0,9.0,20,235.0,135,9.12,174
 Dakar,1,Deuxième Session,,4.4,NON ADMIS,1,2018,M,S2,CANDIDAT INDIVIDUEL DE PIKINE (CAOSP),Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE DE THIAROYE,3,Pass,2,2015,0.0,0.0,0.0,0.0,18,9,5,8,4,6.0,241,9.27,12.04,14.47,23,194.4,210,4.4,308
 Diourbel,1,Première Session,Passable,11.0,PASSE,1,2018,M,S1,LYCEE DE NDANGALMA,Académie de Diourbel,NDANGALMA,LYCEE DE NDANGALMA,1,Pass,1,2006,13.56,10.5,9.67,10.04,10,11,12,6,7,9.0,270,10.0,10.0,10.5,19,266.0,62,111.0,62
 Thiès,1,Deuxième Session,,7.71,NON ADMIS,1,2018,M,S3,LYCEE D' ENSEIGNEMENT TECHNIQUE ET DE FORMATION PROFESSIONELLE DE TH,Académie de Thiès,THIES,LYCEE D' ENSEIGNEMENT TECHNIQUE ET DE FORMATION PR,1,Pass,2,1998,13.63,13.56,11.6,11.28,10,8,6,11,4,,323,8.97,13.47,15.0,20,238.0,124,7.71,221
 Saint-Louis,1,Deuxième Session,,7.37,NON ADMIS,1,2018,M,S2,LYCEE DE TASSINERE,Académie de Saint - Louis,TASSINERE,LYCEE DE TASSINERE,1,Pass,2,2005,9.74,10.94,8.8,10.17,12,10,7,6,8,6.0,217,8.35,10.65,12.0,21,168.0,250,7.37,233
 Thiès,1,Première Session,Passable,10.88,PASSE,1,2018,M,S1,LYCEE AHMADOU NDACK SECK THIES,Académie de Thiès,THIES,CEM MAMADOU DIAW THIES,1,ABien,1,1998,13.72,13.32,13.55,12.62,13,11,16,12,8,10.0,324,12.0,12.0,12.0,20,303.0,20,110.88,67
 Thiès,1,Deuxième Session,,6.98,NON ADMIS,1,2018,F,S2,LYCEE JULES SAGNA,Académie de Thiès,THIES,COLLEGE SAINT GABRIEL,1,Pass,2,2009,0.0,12.72,11.42,11.9,12,7,16,8,6,6.0,241,9.27,10.35,9.53,19,160.0,266,6.98,240
 Thiès,1,Deuxième Session,,7.5,NON ADMIS,1,2018,M,S1,COLLEGE SAINT GABRIEL,Académie de Thiès,THIES,LYCEE D' ENSEIGNEMENT TECHNIQUE ET DE FORMATION PR,1,Pass,1,1998,15.26,14.15,11.47,11.93,9,7,16,12,16,5.0,270,10.0,10.0,8.0,20,223.0,161,7.5,228
 Kolda,1,Première Session,Passable,11.33,PASSE,1,2018,M,S1,LYCEE ALPHA MOLO BALDE,Académie de Kolda,KOLDA,LYCEE ALPHA MOLO BALDE,1,Pass,1,1998,15.75,14.53,12.03,11.66,9,10,7,12,16,12.0,284,10.52,10.52,9.5,20,241.0,113,111.33,52
 Tambacounda,1,Deuxième Session,Passable,10.97,PASSE,1,2018,M,S2,LYCEE MAME CHEIKH MBAYE,Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,1,Pass,2,2011,13.57,13.02,11.41,11.57,15,7,10,7,13,4.0,230,8.85,11.46,11.82,19,187.0,216,10.97,116
 Matam,1,Première Session,Passable,11.03,PASSE,1,2018,F,S2,LYCEE DE ODOBERE,Académie de Matam,ODOBERE,LYCEE DE ODOBERE,1,ABien,1,1999,14.39,14.05,12.37,11.63,16,15,10,12,9,6.0,314,12.08,12.08,12.12,19,264.0,67,111.03,61
 Dakar,1,Première Session,Passable,11.86,PASSE,1,2018,M,S1,LYCEE SEYDINA LIMAMOULAYE,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,1,ABien,1,2001,10.37,14.63,13.91,10.41,15,12,13,10,13,5.0,332,12.3,12.3,13.5,17,337.0,5,111.86,35
 Thiès,1,Première Session,Passable,10.47,PASSE,1,2018,M,S1,LYCEE DE THIADIAYE,Académie de Thiès,THIADIAYE,CEM I DE THIADIAYE,1,Pass,2,2007,16.87,13.68,10.7,11.46,10,8,10,9,7,9.0,237,8.78,12.26,14.0,19,248.0,97,110.47,82
 Louga,1,Deuxième Session,,2.76,NON ADMIS,1,2018,F,S2,NOUVEAU LYCEE DE DAHRA ,Académie de Louga,DAHRA,LYCEE DE DAHRA,1,Pass,2,1997,13.19,12.02,8.54,8.59,8,7,8,14,6,7.0,208,8.0,10.81,10.53,21,114.0,337,2.76,336
 Dakar,1,Deuxième Session,,10.18,AUTORISE,1,2018,M,S1,LYCEE ABDOULAYE SADJI,Académie de Rufisque,RUFISQUE,LYCEE MODERNE DE RUFISQUE,1,ABien,1,1999,14.63,12.21,12.37,12.93,11,11,12,12,15,11.0,328,12.15,12.15,11.0,19,295.0,26,10.18,141
 Kolda,1,Deuxième Session,,7.69,NON ADMIS,1,2018,M,S2,LYCEE ALPHA MOLO BALDE,Académie de Kolda,KOLDA,LYCEE ALPHA MOLO BALDE,2,ABien,1,1997,10.52,9.99,11.21,10.81,16,14,12,10,11,9.0,320,12.31,12.31,12.82,21,235.6,133,7.69,222
 Dakar,1,Deuxième Session,,6.88,NON ADMIS,1,2018,F,S1,LYCEE DIOGOYE BASILE SENGHOR FIMELA,Académie de Fatick,FIMELA,LYCEE DIOGOYE BASILE SENGHOR FIMELA,1,Pass,2,1999,12.54,12.49,10.59,10.17,9,7,12,6,11,10.0,245,9.07,11.15,11.5,19,233.0,141,6.88,246
 Thiès,1,Deuxième Session,Assez-Bien,12.2,PASSE,1,2018,M,S2,LYCEE LEOPOLD SEDAR SENGHOR,Académie de Thiès,JOAL,LYCEE LEOPOLD SEDAR SENGHOR,1,Pass,1,1997,14.03,11.42,11.46,11.64,12,14,10,8,8,10.0,284,10.92,10.92,12.0,21,192.0,215,12.2,102
 Dakar,1,Deuxième Session,,8.94,NON ADMIS,1,2018,M,S2,LYCEE BLAISE DIAGNE,Académie de Dakar,DAKAR,INSTITUTION NOTRE DAME,2,Pass,1,2017,12.64,11.41,11.81,12.75,15,11,12,5,7,7.0,267,10.27,10.27,10.76,19,200.45,201,8.94,178
 Dakar,1,Deuxième Session,,9.43,AUTORISE,1,2018,F,S2,LYCEE BLAISE DIAGNE,Académie de Dakar,DAKAR,LYCEE LAMINE GUEYE,1,Pass,1,1999,14.29,14.48,13.25,13.07,19,10,13,7,5,7.0,284,10.92,10.92,11.59,19,241.0,113,9.43,157
 Dakar,1,Deuxième Session,,2.22,NON ADMIS,1,2018,F,S2,NOUVEAU LYCEE DE LOUGA,Académie de Louga,LOUGA,LYCEE MALICK SALL,2,Pass,2,2017,10.77,11.41,10.01,11.62,8,9,7,12,5,6.0,209,8.04,10.81,11.18,22,119.69999999999999,331,2.22,343
 Dakar,1,Première Session,Très-Bien,17.21,PASSE,1,2018,F,S1,INSTITUTION NOTRE DAME,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,1,ABien,1,2000,16.9,14.0,14.05,14.44,12,11,10,8,13,17.0,326,12.07,12.07,11.5,18,304.0,18,117.21000000000001,1
 Louga,1,Deuxième Session,,5.58,NON ADMIS,1,2018,M,S2,NOUVEAU LYCEE DE DAHRA ,Académie de Louga,DAHRA,LYCEE DE DAHRA,1,Pass,1,2007,15.82,15.54,13.5,10.89,13,11,13,9,13,3.0,260,10.0,10.0,8.76,19,193.0,213,5.58,268
 Kolda,1,Première Session,Assez-Bien,12.97,PASSE,1,2018,M,S1,LYCEE CHERIF SAMSIDINE AIDARA,Académie de Kolda,VELINGARA,CEM IV DE VELINGARA,1,Pass,1,1998,15.22,14.68,11.79,11.63,9,13,9,9,8,8.0,280,10.37,10.37,11.0,20,259.0,77,112.97,22
 Louga,1,Deuxième Session,,7.44,NON ADMIS,1,2018,F,S2,LYCEE ALBOURY NDIAYE,Académie de Louga,LINGUERE,LYCEE ALBOURY NDIAYE,1,Pass,2,2000,10.33,10.12,10.9,11.21,9,8,11,7,11,5.0,209,8.04,11.65,12.53,18,139.0,306,7.44,230
 Saint-Louis,1,Première Session,Passable,10.0,PASSE,1,2018,M,S2,LYCEE DE TASSINERE,Académie de Saint - Louis,TASSINERE,LYCEE DE TASSINERE,2,Pass,1,2006,10.68,10.38,12.96,13.5,17,15,8,7,3,10.0,304,11.69,11.69,13.82,20,230.85,145,110.0,96
 Diourbel,1,Première Session,Assez-Bien,13.2,PASSE,1,2018,M,S1,LYCEE LAMINE GUEYE,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,1,Pass,2,2010,15.62,13.65,12.45,11.58,9,10,11,8,8,7.0,257,9.52,12.22,13.5,19,251.0,90,113.2,18
 Dakar,1,Première Session,Passable,11.37,PASSE,1,2018,M,S1,LYCEE DE BAMBEY SERERE,Académie de Diourbel,BAMBEY SERERE,LYCEE DE BAMBEY SERERE,1,Pass,1,1999,14.18,12.84,11.61,12.15,11,11,11,9,9,5.0,275,10.19,10.19,11.0,19,275.0,46,111.37,50
 Kaolack,1,Deuxième Session,,4.63,NON ADMIS,1,2018,M,S2,LYCEE MIXTE NGANE SAER ,Académie de Kaolack,NGANE SAER,LYCEE MIXTE NGANE SAER ,1,Pass,2,2011,12.24,9.9,9.42,10.31,9,7,12,7,8,5.0,208,8.0,10.0,9.71,18,133.0,320,4.63,301
 Diourbel,1,Deuxième Session,,8.21,NON ADMIS,1,2018,M,S2,LYCEE D'ENSEIGNEMENT GENERAL DE DIOURBEL,Académie de Diourbel,DIOURBEL,LYCEE D'ENSEIGNEMENT GENERAL DE DIOURBEL,1,Pass,2,1999,10.68,11.0,10.03,9.0,15,7,11,6,11,5.0,233,8.96,11.04,11.47,19,187.0,216,8.21,207
 Fatick,1,Première Session,Passable,11.45,PASSE,1,2018,F,S1,LYCEE DE NIAKHAR,Académie de Fatick,NIAKHAR,LYCEE DE NIAKHAR,1,Pass,1,1998,14.03,13.93,12.83,12.91,10,7,12,11,12,13.0,279,10.33,10.33,8.5,20,232.0,143,111.45,48
 Dakar,1,Deuxième Session,,6.09,NON ADMIS,1,2018,F,S2,LYCEE DE SEBIKOTANE,Académie de Rufisque,SEBIKOTANE,LYCEE DE SEBIKOTANE,2,Pass,2,1998,12.29,9.6,9.85,10.1,10,9,12,6,8,4.0,208,8.0,10.54,11.41,20,136.79999999999998,311,6.09,264
